check_id	checker
journal-path-date	workspace-path
journal-body-semantic	workspace-body
journal-source-lineage	context-source
memory-current-revision	workspace-revision
initial-memory-recall	context-source
correction-suppression	context-source
corrected-memory-recall	context-source
recent-noise-excluded	context-source
rogue-filesystem-excluded	context-source
